"ISO3","Year","Region","country","iso3c","Population","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","TotalTrade","FDIIn","PublicEdExpend","PublicHealthExpend","WomenBusLawIndex","MilitaryExpenditures","CO2Emissions"
"BLR",2019,"Europe & Central Asia","Belarus","BLR",9419758,79.044,9.3,1.382,6,130.850132114123,1.97686317571178,4.97948980331421,4.12526941,75.625,1.20086453042742,6.12342695003417
"BEL",2019,"Europe & Central Asia","Belgium","BEL",11488980,98.041,10.2,1.6,6,164.166215073989,-3.98979364981819,6.33397006988525,8.10391235,100,0.888487292252087,8.09379074556662
"BLZ",2019,"Latin America & Caribbean","Belize","BLZ",389095,45.866,18.886,2.106,5,102.201303476517,3.93457925829276,5.90775012969971,4.08774805,79.375,1.01069424875085,1.89208291034323
"BEN",2019,"Sub-Saharan Africa","Benin","BEN",12290444,47.861,37.675,5.13,6,63.68133231423,1.51631080442569,3.00273609161377,0.54099989,74.375,0.473313905552082,0.60823677321991
"BMU",2019,"North America","Bermuda","BMU",63911,100,8.2,1.3,5,77.5601016506443,0.0591344675296509,1.92679822444916,NA,NA,NA,NA
"BTN",2019,"South Asia","Bhutan","BTN",767459,41.612,12.871,1.46,6,76.1235174155789,0.475617070464636,4.7613525390625,2.65109873,75,NA,1.86720072342627
"BOL",2019,"Latin America & Caribbean","Bolivia","BOL",11777315,69.773,22.323,2.688,6,56.3973067281247,-0.529735011311977,8.09103965759277,4.89661789,88.75,1.4512711273205,1.85346150629409
"BIH",2019,"Europe & Central Asia","Bosnia and Herzegovina","BIH",3360711,48.626,8.819,1.368,6,94.5161278874242,2.18661377542075,NA,6.21883726,85,0.818512096528728,6.28566395622831
"BWA",2019,"Sub-Saharan Africa","Botswana","BWA",2499702,70.172,24.887,2.883,6,83.0929813601175,0.559653480699367,8.39899635314941,4.37294102,63.75,3.08122244554008,2.8796632558601
"BRA",2019,"Latin America & Caribbean","Brazil","BRA",211782878,86.824,13.633,1.703,6,28.8902578692948,3.69267321290506,5.96346998214722,3.91701889,81.875,1.38279724638797,2.05077012882977
"VGB",2019,"Latin America & Caribbean","British Virgin Islands","VGB",30610,48.116,7.29,0.948,5,NA,NA,2.63095998764038,NA,NA,NA,NA
"BRN",2019,"East Asia & Pacific","Brunei Darussalam","BRN",438048,77.942,14.585,1.819,6,108.509658357959,2.77118007919323,NA,2.07140136,53.125,3.07858724948281,16.111932938856
"BGR",2019,"Europe & Central Asia","Bulgaria","BGR",6975761,75.347,8.8,1.58,7,124.688701193655,3.22476396917176,4.19715023040771,4.19368887,90.625,3.13216297473719,5.61371010274005
"BFA",2019,"Sub-Saharan Africa","Burkina Faso","BFA",20951639,29.98,36.689,4.971,6,60.4086928806888,1.0164787374761,5.40713691711426,2.2500782,82.5,2.23847580473471,0.26950158887331
"BDI",2019,"Sub-Saharan Africa","Burundi","BDI",11874838,13.366,36.323,5.271,7,29.0262100000001,0.040556947720545,5.34668445587158,2.39167857,73.125,2.8078168112503,0.0595713389942667
"CPV",2019,"Sub-Saharan Africa","Cabo Verde","CPV",577030,66.195,17.463,1.932,6,103.602656463726,5.45788755667341,4.13851022720337,3.24621511,86.25,0.490772924543077,1.06961509800184
"KHM",2019,"East Asia & Pacific","Cambodia","KHM",16207746,23.805,20.28,2.402,6,123.556523773641,13.5220209647967,2.82565474510193,1.6762718,75,2.19648130355774,1.11633042620485
"CMR",2019,"Sub-Saharan Africa","Cameroon","CMR",25782341,56.968,36.147,4.623,6,43.3785132480415,2.5831964059044,3.04739952087402,0.40687224,60,1.06457837839838,0.370691707164993
